DataExtractDate,ReportPeriod,Arrival_Departure,Domestic_International,FlightType,Passenger_Count
2014-05-01T00:00:00,2007-03-01T00:00:00,Departure,International,Commuter,4520
2014-05-01T00:00:00,2007-03-01T00:00:00,Departure,International,Scheduled Carriers,700356
2014-05-01T00:00:00,2007-04-01T00:00:00,Arrival,Domestic,Charter,1277
2014-05-01T00:00:00,2007-04-01T00:00:00,Arrival,Domestic,Commuter,165183
2014-05-01T00:00:00,2007-04-01T00:00:00,Arrival,Domestic,Scheduled Carriers,1707002
2014-05-01T00:00:00,2007-04-01T00:00:00,Arrival,International,Charter,115
2014-05-01T00:00:00,2007-04-01T00:00:00,Arrival,International,Commuter,4467
2014-05-01T00:00:00,2007-04-01T00:00:00,Arrival,International,Scheduled Carriers,720743
2014-05-01T00:00:00,2007-04-01T00:00:00,Departure,Domestic,Charter,759
2014-05-01T00:00:00,2007-04-01T00:00:00,Departure,Domestic,Commuter,157908
2014-05-01T00:00:00,2007-04-01T00:00:00,Departure,Domestic,Scheduled Carriers,1738059
2014-05-01T00:00:00,2007-04-01T00:00:00,Departure,International,Commuter,4286
2014-05-01T00:00:00,2007-04-01T00:00:00,Departure,International,Scheduled Carriers,673315
2014-05-01T00:00:00,2007-05-01T00:00:00,Arrival,Domestic,Charter,481
2014-05-01T00:00:00,2007-05-01T00:00:00,Arrival,Domestic,Commuter,165973
2014-05-01T00:00:00,2007-05-01T00:00:00,Arrival,Domestic,Scheduled Carriers,1758787
2014-05-01T00:00:00,2007-05-01T00:00:00,Arrival,International,Commuter,4471
2014-05-01T00:00:00,2007-05-01T00:00:00,Arrival,International,Scheduled Carriers,689391
2014-05-01T00:00:00,2007-05-01T00:00:00,Departure,Domestic,Charter,213
2014-05-01T00:00:00,2007-05-01T00:00:00,Departure,Domestic,Commuter,155642
2014-05-01T00:00:00,2007-05-01T00:00:00,Departure,Domestic,Scheduled Carriers,1755322
2014-05-01T00:00:00,2007-05-01T00:00:00,Departure,International,Charter,259
2014-05-01T00:00:00,2007-05-01T00:00:00,Departure,International,Commuter,4722
2014-05-01T00:00:00,2007-05-01T00:00:00,Departure,International,Scheduled Carriers,721668
2014-05-01T00:00:00,2007-06-01T00:00:00,Arrival,Domestic,Charter,473
2014-05-01T00:00:00,2007-06-01T00:00:00,Arrival,Domestic,Commuter,165249
2014-05-01T00:00:00,2007-06-01T00:00:00,Arrival,Domestic,Scheduled Carriers,1874453
2014-05-01T00:00:00,2007-06-01T00:00:00,Arrival,International,Charter,5
2014-05-01T00:00:00,2007-06-01T00:00:00,Arrival,International,Commuter,3572
2014-05-01T00:00:00,2007-06-01T00:00:00,Arrival,International,Scheduled Carriers,722785
2014-05-01T00:00:00,2007-06-01T00:00:00,Departure,Domestic,Charter,366
2014-05-01T00:00:00,2007-06-01T00:00:00,Departure,Domestic,Commuter,160245
2014-05-01T00:00:00,2007-06-01T00:00:00,Departure,Domestic,Scheduled Carriers,1908512
2014-05-01T00:00:00,2007-06-01T00:00:00,Departure,International,Commuter,3919
2014-05-01T00:00:00,2007-06-01T00:00:00,Departure,International,Scheduled Carriers,786884
2014-05-01T00:00:00,2007-07-01T00:00:00,Arrival,Domestic,Charter,1254
2014-05-01T00:00:00,2007-07-01T00:00:00,Arrival,Domestic,Commuter,160948
